date,startup,vertical,subvertical,city,investors,rounds,amount
2020-01-09,BYJU’S,E-Tech,E-learning,Bengaluru,Tiger Global Management,Private Equity Round,1650.0
2020-01-13,Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,66.3992505
2020-01-09,Mamaearth,ECommerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,151.460595
2020-01-02,https://www.wealthbucket.in/,FinTech,Online Investment,Delhi,Vinod Khatumal,Pre-series A,24.75
2020-01-02,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,14.85
2020-01-13,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,74.25
2020-01-10,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,1237.5
2019-12-12,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,49.5
2019-12-06,CarDekho,ECommerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,577.5
2019-12-03,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,Mumbai Angel,Seed,412.5
2019-12-03,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,Ravikanth Reddy,Seed,412.5
2019-12-13,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,Saif Partners,Series F,165.0
2019-12-13,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,Spring Canter Investment Ltd,Series F,165.0
2019-12-17,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,Paytm,Series C,99.0
2019-12-17,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,Nptk,Series C,99.0
2019-12-17,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,Sabre Partners,Series C,99.0
2019-12-17,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,Neoplux,Series C,99.0
2019-12-16,Licious,ECommerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,247.5
2019-12-16,InCred,Finance,Non-Banking Financial Company,Mumbai,Undisclosed,Debt Funding,48.675
2019-12-14,Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,16.5
2019-12-11,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education,Seed Round,412.5
2019-12-11,Rein Games,Gaming,Real money based gaming startup,Noida,Medical Group,Seed Round,412.5
2019-12-20,Lenskart.com,ECommerce,Online Eyewear Shopping Portal,Faridabad,Softbank Vision Fund,Series G,1905.75
2019-11-13,Freshworks,Software,Business and customer engagement tools,San Francisco,Sequoia,Series H,1237.5
2019-11-13,Freshworks,Software,Business and customer engagement tools,San Francisco,Capital,Series H,1237.5
2019-11-13,Freshworks,Software,Business and customer engagement tools,San Francisco,Accel,Series H,1237.5
2019-11-14,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,Sauce.Vc,Series B,4.0095
2019-11-14,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,Rainforest Ventures,Series B,4.0095
2019-11-13,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,Prime Venture Partners,Seed,12.375
2019-11-13,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,Letsventure,Seed,12.375
2019-11-13,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,Ps1 Venture,Seed,12.375
2019-11-13,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,Globallogic Co-Founder Rajul Garg,Seed,12.375
2019-11-17,Burger Singh,Food and Beverage,Indian Burger Brand,Gurgaon,Rb Investments,Venture,0.0
2019-11-18,Healthians,Health and Wellness,Healthcare services,Gurgaon,Dg Daiwa Ventures,Series B,99.0
2019-11-18,Healthians,Health and Wellness,Healthcare services,Gurgaon,Dg Incubation,Series B,99.0
2019-11-15,Ninjacart,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,214.5
2019-11-20,Aye Finance,FinTech,Financial Services To MSMEs,Gurgaon,Fintech,Debt Funding,143.64293625
2019-11-12,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,10.725
2019-11-20,Clumio,SaaS,Recovery software,"San Jose,",Altimeter Capital,Series C,1113.75
2019-11-20,Clumio,SaaS,Recovery software,"San Jose,",Sutter Hill Ventures,Series C,1113.75
2019-11-11,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,2.475
2019-11-19,Digital Mall Asia,ECommerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed Funding,1815.0
2019-11-18,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,Ackermans,Series B,130.35
2019-11-18,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,Van Haaren,Series B,130.35
2019-11-18,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,Healthquad,Series B,130.35
2019-11-18,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,Rebright Partners,Series B,130.35
2019-11-18,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,Toppan Printing,Series B,130.35
